# TF	Target	Type	Reference
POU5F1	BMP4	Repression	17068183
POU5F1	CDKN1A	Repression	19968627
POU5F1	CDX2	Repression	17068183
POU5F1	DDC	Unknown	9602135
POU5F1	DKK1	Repression	17068183
POU5F1	DLX5	Repression	17068183
POU5F1	EOMES	Repression	17068183
POU5F1	FGF4	Activation	10801796
POU5F1	GADD45A	Unknown	11704867
POU5F1	GATA6	Repression	14990861;17068183
POU5F1	HLX	Repression	17068183
POU5F1	ID2	Repression	17068183
POU5F1	ITGA6	Activation	22311737
POU5F1	L1TD1	Unknown	22162396
POU5F1	LEFTY1	Activation	17068183
POU5F1	NANOG	Activation	17068183
POU5F1	NANOG	Unknown	18338330
POU5F1	SEMA6A	Unknown	17671748
POU5F1	SOX2	Activation	17068183
POU5F1	SPP1	Activation	11891324
POU5F1	TBXT	Repression	17068183
POU5F1	TBX18	Repression	17068183
POU5F1	TDGF1	Activation	17068183
POU5F1	THY1	Activation	17068183
POU5F1	ZFP42	Activation	17068183
