# TF	Target	Type	Reference
SOX2	ABCC3	Activation	21531766
SOX2	ABCC6	Activation	21531766
SOX2	ASXL1	Activation	22542624
SOX2	BMP4	Repression	24477565
SOX2	CCND1	Unknown	18456656
SOX2	DKK1	Activation	22015605
SOX2	FGF4	Activation	10801796
SOX2	ISL1	Repression	20739473
SOX2	ITGA6	Activation	22311737
SOX2	L1TD1	Unknown	22162396
SOX2	LHX3	Activation	18407919
SOX2	MKI67	Repression	20739473
SOX2	MMP3	Activation	22184093
SOX2	NTRK3	Activation	22265740
SOX2	PAX6	Activation	20739473
SOX2	PAX6	Repression	20739473
SOX2	PGA5	Activation	17136346
SOX2	PLAC1	Repression	21304604
SOX2	POU4F2	Repression	20739473
SOX2	RHO	Repression	20739473
SOX2	SEMA6A	Unknown	17671748
SOX2	TUBB3	Repression	20739473
SOX2	VIM	Activation	20739473
