# TF	Target	Type	Reference
YBX1	ABCB1	Activation	10644769
YBX1	ABCB1	Repression	17072343
YBX1	ABCB1	Unknown	18234965
YBX1	AGT	Activation	11829142
YBX1	ANAPC4	Repression	20596676
YBX1	AR	Unknown	21652770
YBX1	CCNB1	Repression	20596676
YBX1	CCNC	Repression	20596676
YBX1	CDC20	Repression	20596676
YBX1	CDH1	Activation	17072343
YBX1	CDKN3	Activation	20596676
YBX1	CKS2	Repression	20596676
YBX1	CXCR4	Activation	17072343
YBX1	E2F1	Unknown	22205655
YBX1	EGFR	Activation	17875215;19648825
YBX1	ERBB2	Activation	19648825
YBX1	ERBB2	Unknown	20838384
YBX1	ERBB3	Activation	19648825
YBX1	FAS	Repression	10903433
YBX1	KPNA2	Repression	20596676
YBX1	MET	Activation	19648825
YBX1	MIA	Unknown	23672612
YBX1	MMP13	Repression	17822788
YBX1	MMP2	Unknown	10589685
YBX1	MNAT1	Repression	20596676
YBX1	MYCN	Activation	17072343
YBX1	RAD9A	Activation	20596676
YBX1	RBBP8	Repression	20596676
YBX1	SKP2	Repression	20596676
YBX1	SLC6A4	Unknown	15229244;17360901;23765727
YBX1	SUMO1	Repression	20596676
YBX1	TOP2A	Unknown	10597187
YBX1	TYMS	Repression	17072343
